% Model:              scattering_nanosphere.mph
% Version:            COMSOL 6.2.0.415
% Date:               Dec 10 2024, 16:48
% Dimension:          1
% Nodes:              101
% Expressions:        1
% Description:        Radiation pattern
% theta                   Far-field norm
0                         1.1354729394330972E-7
0.06283185307179587       1.1327824248869428E-7
0.12566370614359174       1.124724569338563E-7
0.18849555921538758       1.1113406333344998E-7
0.25132741228718347       1.0927000220756499E-7
0.3141592653589793        1.0689011859638928E-7
0.37699111843077515       1.0400727768573026E-7
0.43982297150257105       1.006374969304487E-7
0.5026548245743669        9.680008442595885E-8
0.5654866776461628        9.251777279887692E-8
0.6283185307179586        8.78168387867006E-8
0.6911503837897545        8.272720280395927E-8
0.7539822368615503        7.728251379526519E-8
0.8168140899333463        7.152024899177802E-8
0.8796459430051421        6.548190740522232E-8
0.9424777960769378        5.921347308659153E-8
1.0053096491487339        5.2766521133488284E-8
1.0681415022205298        4.620076454951434E-8
1.1309733552923256        3.958983779075374E-8
1.1938052083641213        3.3034670886233816E-8
1.2566370614359172        2.6695875710766535E-8
1.3194689145077132        2.087623105976036E-8
1.382300767579509         1.6221968975630377E-8
1.4451326206513047        1.397798724900396E-8
1.5079644737231006        1.5222251987920592E-8
1.5707963267948966        1.923669574848155E-8
1.6336281798666925        2.4640338956063028E-8
1.6964600329384882        3.063897565311828E-8
1.7592918860102842        3.687332236610701E-8
1.8221237390820801        4.317048217337556E-8
1.8849555921538756        4.943493690022721E-8
1.9477874452256716        5.560552850694692E-8
2.0106192982974678        6.163753613610145E-8
2.0734511513692637        6.749470819524424E-8
2.1362830044410597        7.314560710968593E-8
2.199114857512855         7.85619856094431E-8
2.261946710584651         8.371817283031187E-8
2.324778563656447         8.859095891424752E-8
2.3876104167282426        9.315969421900276E-8
2.4504422698000385        9.7406434396248E-8
2.5132741228718345        1.0131603129732906E-7
2.57610597594363          1.0487611752093347E-7
2.6389378290154264        1.0807696858365591E-7
2.701769682087222         1.1091125359250087E-7
2.764601535159018         1.1337370307964088E-7
2.827433388230814         1.1546073140518427E-7
2.8902652413026093        1.1717005180753105E-7
2.9530970943744057        1.1850031677855955E-7
3.015928947446201         1.1945080762657226E-7
3.078760800517997         1.2002118760012091E-7
3.141592653589793         1.202113250003227E-7
3.204424506661589         1.2002118760012062E-7
3.267256359733385         1.194508076265724E-7
3.330088212805181         1.1850031677855956E-7
3.3929200658769765        1.1717005180753128E-7
3.4557519189487724        1.1546073140518423E-7
3.5185837720205684        1.1337370307964118E-7
3.581415625092364         1.1091125359250087E-7
3.6442474781641603        1.0807696858365612E-7
3.707079331235956         1.0487611752093345E-7
3.7699111843077513        1.013160312973293E-7
3.8327430373795477        9.7406434396248E-8
3.895574890451343         9.315969421900304E-8
3.9584067435231396        8.859095891424748E-8
4.0212385965949355        8.3718172830312E-8
4.084070449666731         7.856198560944323E-8
4.1469023027385274        7.314560710968566E-8
4.209734155810323         6.749470819524394E-8
4.272566008882119         6.163753613610146E-8
4.335397861953915         5.560552850694688E-8
4.39822971502571          4.943493690022735E-8
4.461061568097507         4.3170482173375465E-8
4.523893421169302         3.687332236610702E-8
4.586725274241098         3.063897565311828E-8
4.649557127312894         2.4640338956062978E-8
4.71238898038469          1.9236695748481565E-8
4.775220833456485         1.5222251987920658E-8
4.838052686528282         1.3977987249003947E-8
4.900884539600077         1.6221968975630298E-8
4.9637163926718735        2.087623105976036E-8
5.026548245743669         2.6695875710766535E-8
5.0893800988154645        3.303467088623374E-8
5.15221195188726          3.958983779075351E-8
5.215043804959057         4.620076454951436E-8
5.277875658030853         5.276652113348825E-8
5.340707511102648         5.9213473086591474E-8
5.403539364174444         6.548190740522221E-8
5.466371217246239         7.152024899177815E-8
5.529203070318036         7.728251379526506E-8
5.592034923389832         8.272720280395925E-8
5.654866776461628         8.781683878670058E-8
5.717698629533423         9.251777279887711E-8
5.780530482605219         9.680008442595886E-8
5.843362335677015         1.0063749693044871E-7
5.906194188748811         1.0400727768573007E-7
5.969026041820607         1.068901185963893E-7
6.031857894892402         1.0927000220756494E-7
6.094689747964199         1.1113406333344986E-7
6.157521601035994         1.124724569338563E-7
6.220353454107791         1.1327824248869446E-7
6.283185307179586         1.1354729394330975E-7
