% Model:              scattering_nanosphere.mph
% Version:            COMSOL 6.2.0.415
% Date:               Dec 10 2024, 16:47
% Dimension:          1
% Nodes:              101
% Expressions:        1
% Description:        Radiation pattern
% theta                   Far-field norm
0                         1.1354729394330972E-7
0.06283185307179587       1.1354422762559482E-7
0.12566370614359174       1.1353561839369175E-7
0.18849555921538758       1.1352322399132074E-7
0.25132741228718347       1.1350993202586805E-7
0.3141592653589793        1.1349968428777748E-7
0.37699111843077515       1.1349734847394394E-7
0.43982297150257105       1.1350852180413758E-7
0.5026548245743669        1.1353925507380879E-7
0.5654866776461628        1.1359569412525618E-7
0.6283185307179586        1.1368364766549887E-7
0.6911503837897545        1.1380810422543957E-7
0.7539822368615503        1.1397273468229604E-7
0.8168140899333463        1.1417942766256382E-7
0.8796459430051421        1.1442791083568502E-7
0.9424777960769378        1.1471550963453881E-7
1.0053096491487339        1.1503708538217845E-7
1.0681415022205298        1.153851777474739E-7
1.1309733552923256        1.1575035412258098E-7
1.1938052083641213        1.1612174446714718E-7
1.2566370614359172        1.1648771850068924E-7
1.3194689145077132        1.1683664646674632E-7
1.382300767579509         1.1715767725376489E-7
1.4451326206513047        1.1744146876138303E-7
1.5079644737231006        1.1768081360328925E-7
1.5707963267948966        1.1787111597703874E-7
1.6336281798666925        1.1801069002338705E-7
1.6964600329384882        1.1810086404707064E-7
1.7592918860102842        1.1814588743127264E-7
1.8221237390820801        1.1815264786563996E-7
1.8849555921538756        1.1813021623154436E-7
1.9477874452256716        1.1808924588067124E-7
2.0106192982974678        1.180412624165605E-7
2.0734511513692637        1.1799788901096323E-7
2.1362830044410597        1.1797005957706631E-7
2.199114857512855         1.1796727616118636E-7
2.261946710584651         1.1799696616232689E-7
2.324778563656447         1.1806398852726018E-7
2.3876104167282426        1.1817032599972966E-7
2.4504422698000385        1.1831498406250688E-7
2.5132741228718345        1.1849409856274747E-7
2.57610597594363          1.1870123577175938E-7
2.6389378290154264        1.1892785328326002E-7
2.701769682087222         1.191638795168819E-7
2.764601535159018         1.1939836449027995E-7
2.827433388230814         1.1962015473288367E-7
2.8902652413026093        1.198185496735691E-7
2.9530970943744057        1.1998390399952203E-7
3.015928947446201         1.201081487309079E-7
3.078760800517997         1.2018521171499932E-7
3.141592653589793         1.2021132500032267E-7
3.204424506661589         1.2018521171499947E-7
3.267256359733385         1.2010814873090792E-7
3.330088212805181         1.19983903999522E-7
3.3929200658769765        1.198185496735691E-7
3.4557519189487724        1.1962015473288367E-7
3.5185837720205684        1.1939836449027992E-7
3.581415625092364         1.1916387951688196E-7
3.6442474781641603        1.1892785328326E-7
3.707079331235956         1.1870123577175933E-7
3.7699111843077513        1.184940985627475E-7
3.8327430373795477        1.1831498406250691E-7
3.895574890451343         1.1817032599972955E-7
3.9584067435231396        1.1806398852726018E-7
4.0212385965949355        1.1799696616232685E-7
4.084070449666731         1.1796727616118636E-7
4.1469023027385274        1.1797005957706611E-7
4.209734155810323         1.1799788901096331E-7
4.272566008882119         1.1804126241656046E-7
4.335397861953915         1.1808924588067125E-7
4.39822971502571          1.1813021623154431E-7
4.461061568097507         1.181526478656402E-7
4.523893421169302         1.1814588743127276E-7
4.586725274241098         1.1810086404707063E-7
4.649557127312894         1.1801069002338708E-7
4.71238898038469          1.1787111597703863E-7
4.775220833456485         1.176808136032895E-7
4.838052686528282         1.1744146876138312E-7
4.900884539600077         1.171576772537649E-7
4.9637163926718735        1.1683664646674607E-7
5.026548245743669         1.1648771850068924E-7
5.0893800988154645        1.161217444671471E-7
5.15221195188726          1.1575035412258097E-7
5.215043804959057         1.153851777474741E-7
5.277875658030853         1.1503708538217853E-7
5.340707511102648         1.1471550963453872E-7
5.403539364174444         1.1442791083568501E-7
5.466371217246239         1.1417942766256384E-7
5.529203070318036         1.1397273468229606E-7
5.592034923389832         1.1380810422543973E-7
5.654866776461628         1.1368364766549897E-7
5.717698629533423         1.1359569412525612E-7
5.780530482605219         1.135392550738089E-7
5.843362335677015         1.135085218041374E-7
5.906194188748811         1.1349734847394396E-7
5.969026041820607         1.1349968428777752E-7
6.031857894892402         1.1350993202586813E-7
6.094689747964199         1.1352322399132069E-7
6.157521601035994         1.1353561839369176E-7
6.220353454107791         1.1354422762559485E-7
6.283185307179586         1.1354729394330976E-7
