% Model:              scattering_nanosphere.mph
% Version:            COMSOL 6.2.0.415
% Date:               Dec 11 2024, 12:41
% Dimension:          1
% Nodes:              101
% Expressions:        1
% Description:        Radiation pattern
% theta                   Far-field norm
0                         1.1634726671858054E-6
0.06283185307179587       1.1506503458505539E-6
0.12566370614359174       1.1128534997173375E-6
0.18849555921538758       1.0520417262759555E-6
0.25132741228718347       9.713168229868207E-7
0.3141592653589793        8.746933413953099E-7
0.37699111843077515       7.668089671901807E-7
0.43982297150257105       6.526017586270855E-7
0.5026548245743669        5.369832528882766E-7
0.5654866776461628        4.245353707038243E-7
0.6283185307179586        3.1925549198412265E-7
0.6911503837897545        2.2436965730321574E-7
0.7539822368615503        1.422345448319045E-7
0.8168140899333463        7.439812111636202E-8
0.8796459430051421        2.2892665981860873E-8
0.9424777960769378        2.3147364106049232E-8
1.0053096491487339        4.8004827019203884E-8
1.0681415022205298        6.271355183782174E-8
1.1309733552923256        6.804592378755978E-8
1.1938052083641213        6.591302911623271E-8
1.2566370614359172        5.834367253652758E-8
1.3194689145077132        4.7277886348350503E-8
1.382300767579509         3.4472411810849984E-8
1.4451326206513047        2.1520854876018836E-8
1.5079644737231006        1.045196079394778E-8
1.5707963267948966        8.254882122476587E-9
1.6336281798666925        1.5087841736015934E-8
1.6964600329384882        2.1656999245594324E-8
1.7592918860102842        2.6412649813702396E-8
1.8221237390820801        2.925263736382416E-8
1.8849555921538756        3.035834753002678E-8
1.9477874452256716        3.001622315682711E-8
2.0106192982974678        2.8551940742537583E-8
2.0734511513692637        2.6293241739291283E-8
2.1362830044410597        2.3546823181135033E-8
2.199114857512855         2.0584841681123582E-8
2.261946710584651         1.7638568837329723E-8
2.324778563656447         1.4897191864629007E-8
2.3876104167282426        1.2509582916827062E-8
2.4504422698000385        1.0585741494946226E-8
2.5132741228718345        9.192839016964282E-9
2.57610597594363          8.34290121405221E-9
2.6389378290154264        7.982399455702359E-9
2.701769682087222         8.004996216060054E-9
2.764601535159018         8.286622317279603E-9
2.827433388230814         8.71452345586595E-9
2.8902652413026093        9.195786050906071E-9
2.9530970943744057        9.654669389158339E-9
3.015928947446201         1.0029815492870148E-8
3.078760800517997         1.0274631687342659E-8
3.141592653589793         1.0359615568102898E-8
3.204424506661589         1.0274631687342682E-8
3.267256359733385         1.0029815492870193E-8
3.330088212805181         9.654669389158364E-9
3.3929200658769765        9.195786050906056E-9
3.4557519189487724        8.714523455865874E-9
3.5185837720205684        8.286622317279631E-9
3.581415625092364         8.004996216060057E-9
3.6442474781641603        7.982399455702354E-9
3.707079331235956         8.342901214052196E-9
3.7699111843077513        9.19283901696427E-9
3.8327430373795477        1.05857414949462E-8
3.895574890451343         1.2509582916827096E-8
3.9584067435231396        1.4897191864629045E-8
4.0212385965949355        1.763856883732985E-8
4.084070449666731         2.0584841681123632E-8
4.1469023027385274        2.354682318113503E-8
4.209734155810323         2.6293241739291296E-8
4.272566008882119         2.8551940742537554E-8
4.335397861953915         3.0016223156827155E-8
4.39822971502571          3.0358347530026745E-8
4.461061568097507         2.925263736382421E-8
4.523893421169302         2.6412649813702343E-8
4.586725274241098         2.1656999245594268E-8
4.649557127312894         1.5087841736015973E-8
4.71238898038469          8.254882122476488E-9
4.775220833456485         1.0451960793947489E-8
4.838052686528282         2.1520854876018866E-8
4.900884539600077         3.447241181084979E-8
4.9637163926718735        4.7277886348350464E-8
5.026548245743669         5.834367253652741E-8
5.0893800988154645        6.59130291162329E-8
5.15221195188726          6.804592378755986E-8
5.215043804959057         6.271355183782156E-8
5.277875658030853         4.800482701920357E-8
5.340707511102648         2.314736410604888E-8
5.403539364174444         2.289266598186048E-8
5.466371217246239         7.439812111636123E-8
5.529203070318036         1.4223454483190498E-7
5.592034923389832         2.2436965730321582E-7
5.654866776461628         3.1925549198412323E-7
5.717698629533423         4.2453537070382376E-7
5.780530482605219         5.369832528882741E-7
5.843362335677015         6.526017586270852E-7
5.906194188748811         7.668089671901802E-7
5.969026041820607         8.746933413953116E-7
6.031857894892402         9.71316822986821E-7
6.094689747964199         1.0520417262759553E-6
6.157521601035994         1.1128534997173358E-6
6.220353454107791         1.1506503458505539E-6
6.283185307179586         1.1634726671858054E-6
